,Unnamed: 0,num_cands,num_voters,generation,decision_rule,vm,mean,est_std_error,variance,num_trials,max_std_error,initial_trials,step_trials,min_num_trials,pref_voting_version
164,2,4,21,1,max,Instant Runoff,0.0213142198468172,0.00049378085168,0.0119839736937608,49152,0.0005,4096,4096,4095,1.13.20
165,3,4,21,1,max,Instant Runoff PUT,0.0187715529490764,0.0003873015155104,0.0073727711039711,49152,0.0005,4096,4096,4095,1.13.20
166,4,4,21,1,max,Minimax,0.0084149464135003,0.0002146941114001,0.0022655446398069,49152,0.0005,4096,4096,4095,1.13.20
167,5,4,21,1,max,Stable Voting,0.0118192072282432,0.0003337746015443,0.0054756909753489,49152,0.0005,4096,4096,4095,1.13.20
168,6,4,21,1,max,Split Cycle,0.0083405459698921,0.0002137512584332,0.0022456895532808,49152,0.0005,4096,4096,4095,1.13.20
169,7,4,21,1,max,Strict Nanson,0.0121342741899372,0.000370449654833,0.0067451365664919,49152,0.0005,4096,4096,4095,1.13.20
170,8,4,21,1,max,Blacks,0.0149623699949534,0.0003724467804862,0.0068180598176839,49152,0.0005,4096,4096,4095,1.13.20
171,0,4,11,1,max,Plurality,0.0316464960811813,0.0003656388541289,0.0087614902549976,65536,0.0005,4096,4096,4095,1.13.20
172,1,4,11,1,max,Borda,0.049062005102347,0.0004892722595724,0.0156882495881973,65536,0.0005,4096,4096,4095,1.13.20
173,2,4,11,1,max,Instant Runoff,0.0208145497873689,0.000439802077532,0.0126761642201586,65536,0.0005,4096,4096,4095,1.13.20
174,3,4,11,1,max,Instant Runoff PUT,0.0216945583298927,0.0003839571818076,0.0096613740028498,65536,0.0005,4096,4096,4095,1.13.20
175,4,4,11,1,max,Minimax,0.0134177505818551,0.0002275680094549,0.0033938740816984,65536,0.0005,4096,4096,4095,1.13.20
176,5,4,11,1,max,Stable Voting,0.0210438062819562,0.0003700213706736,0.0089727779199826,65536,0.0005,4096,4096,4095,1.13.20
177,6,4,11,1,max,Split Cycle,0.0131927073219938,0.0002245801414245,0.003305338983307,65536,0.0005,4096,4096,4095,1.13.20
178,7,4,11,1,max,Strict Nanson,0.0192618999565947,0.0003866638417612,0.0097980674998506,65536,0.0005,4096,4096,4095,1.13.20
179,8,4,11,1,max,Blacks,0.0250054589588005,0.000410821322252,0.0110606144980672,65536,0.0005,4096,4096,4095,1.13.20
180,0,4,10,1,max,Plurality,0.0313578176817831,0.0003496599341559,0.0085132301651102,69632,0.0005,4096,4096,4095,1.13.26
181,1,4,10,1,max,Borda,0.0526094322500339,0.000492612973556,0.0168971835972115,69632,0.0005,4096,4096,4095,1.13.26
182,2,4,10,1,max,Instant Runoff,0.0343797698549367,0.0004469079660134,0.0139071719426394,69632,0.0005,4096,4096,4095,1.13.26
183,3,4,10,1,max,Instant Runoff PUT,0.0178067562032266,0.0002476106380915,0.0042691481973606,69632,0.0005,4096,4096,4095,1.13.26
184,4,4,10,1,max,Minimax,0.0159780478491612,0.00024360572384,0.0041321645648701,69632,0.0005,4096,4096,4095,1.13.26
185,5,4,10,1,max,Stable Voting,0.0356713930828807,0.0004498395883226,0.0140902266287847,69632,0.0005,4096,4096,4095,1.13.26
186,6,4,10,1,max,Split Cycle,0.016467028720689,0.0002482878824736,0.0042925333848429,69632,0.0005,4096,4096,4095,1.13.26
187,7,4,10,1,max,Strict Nanson,0.0194213964257822,0.0002995826731517,0.0062493667955919,69632,0.0005,4096,4096,4095,1.13.26
188,8,4,10,1,max,Blacks,0.0479732459415452,0.0004811407006413,0.0161193240050153,69632,0.0005,4096,4096,4095,1.13.26
189,0,4,6,1,max,Plurality,0.0310446571361774,0.0003144496778715,0.0081000360263166,81920,0.0005,4096,4096,4095,1.13.20
190,1,4,6,1,max,Borda,0.066563624977421,0.0004993089525838,0.0204231792068499,81920,0.0005,4096,4096,4095,1.13.20
191,2,4,6,1,max,Instant Runoff,0.0231809007670804,0.0002837976941208,0.0065978489258163,81920,0.0005,4096,4096,4095,1.13.20
192,3,4,6,1,max,Instant Runoff PUT,0.0210182028964758,0.0002322855179795,0.0044200675912587,81920,0.0005,4096,4096,4095,1.13.20
193,4,4,6,1,max,Minimax,0.0216400785065078,0.0002556215489669,0.005352782123813,81920,0.0005,4096,4096,4095,1.13.20
194,5,4,6,1,max,Stable Voting,0.052809208455759,0.000480800366409,0.0189371326834226,81920,0.0005,4096,4096,4095,1.13.20
195,6,4,6,1,max,Split Cycle,0.0216757930931741,0.0002544192008798,0.0053025455821462,81920,0.0005,4096,4096,4095,1.13.20
196,7,4,6,1,max,Strict Nanson,0.0228228525711835,0.000269276175095,0.0059399187125165,81920,0.0005,4096,4096,4095,1.13.20
197,8,4,6,1,max,Blacks,0.0641920624735285,0.0004952513430554,0.0200925920241388,81920,0.0005,4096,4096,4095,1.13.20
198,0,4,20,1,max,Plurality,0.0256499383178816,0.0003866787665793,0.0073490805483913,49152,0.0005,4096,4096,4095,1.13.20
199,1,4,20,1,max,Borda,0.0338610288670686,0.0004823041426354,0.0114333722243503,49152,0.0005,4096,4096,4095,1.13.20
